X1,X2,Y1,Y2
668.1876643,502.1271633,-2.108531534,0.229882553
667.9577818,504.2356949,-2.188290343,0.277556782
667.680225,506.4239852,-2.264879862,0.331451095
667.3487739,508.6888651,-2.341469381,0.385345407
666.9634285,511.0303344,-2.418058899,0.43923972
666.5241888,513.4483933,-2.494648418,0.493134033
666.0310548,515.9430418,-2.571237936,0.547028345
665.4840264,518.5142797,-2.647827455,0.600922658
664.8831038,521.1621071,-2.724416973,0.65481697
664.2282868,523.8865241,-2.801006492,0.708711283
663.5195755,526.6875306,-2.874211573,0.768711283
662.7508642,529.5617422,-2.943821192,0.834695136
661.9161691,532.5055634,-3.009628706,0.906533716
661.0096354,535.5151921,-3.071432105,0.984090767
660.0255446,538.5866242,-3.129034256,1.067223062
658.9583215,541.7156584,-3.182243145,1.155780584
657.802541,544.8979016,-3.23087211,1.249606705
656.5529342,548.1287737,-3.27474007,1.348538379
655.2043959,551.4035138,-3.313671744,1.452406339
653.7519895,554.7171855,-3.352603418,1.556274299
652.1957152,558.0697889,-3.391535092,1.660142259
650.535573,561.461324,-3.430466766,1.764010219
648.7715627,564.8917908,-3.46939844,1.86787818
646.9036846,568.3611892,-3.508330114,1.97174614
644.9319384,571.8695193,-3.547261788,2.0756141
642.8563243,575.4167811,-3.586193463,2.17948206
640.6768423,579.0029746,-3.625125137,2.28335002
638.3934923,582.6280997,-3.664056811,2.38721798
636.0062743,586.2921565,-3.702988485,2.49108594
633.5151883,589.995145,-3.741920159,2.5949539
630.9202344,593.7370652,-3.780851833,2.69882186
628.2214126,597.517917,-3.680851833,2.65882186
625.5625907,601.1987688,-3.580851833,2.61882186
622.9437689,604.7796207,-3.480851833,2.57882186
620.364947,608.2604725,-3.380851833,2.53882186
617.8261251,611.6413243,-3.419783507,2.64268982
615.1834353,615.0611079,-3.458715181,2.74655778
612.4368775,618.519823,-3.497646855,2.85042574
609.5864518,622.0174699,-3.536578529,2.9542937
606.6321581,625.5540484,-3.575510203,3.05816166
603.5739964,629.1295586,-3.614441878,3.16202962
600.4119668,632.7440005,-3.653373552,3.265897581
597.1460692,636.3973741,-3.692305226,3.369765541
593.7763037,640.0896793,-3.7312369,3.473633501
590.3026702,643.8209162,-3.770168574,3.577501461
586.7251687,647.5910848,-3.809100248,3.681369421
583.0437993,651.400185,-3.848031922,3.785237381
579.2585619,655.2482169,-3.886963596,3.889105341
575.3694566,659.1351805,-3.92589527,3.992973301
571.3764833,663.0610758,-3.964826944,4.096841261
567.279642,667.0259027,-4.003758618,4.200709221
563.0789328,671.0296614,-4.042690293,4.304577181
558.7743556,675.0723516,-4.081621967,4.408445141
554.3659105,679.1539736,-3.981621967,4.368445141
549.9974653,683.1355956,-3.881621967,4.328445141
545.6690202,687.0172175,-3.781621967,4.288445141
541.3805751,690.7988395,-3.681621967,4.248445141
537.1321299,694.4804615,-3.581621967,4.208445141
532.9236848,698.0620834,-3.481621967,4.168445141
528.7552396,701.5437054,-3.381621967,4.128445141
524.6267945,704.9253274,-3.281621967,4.088445141
520.5383493,708.2069493,-3.181621967,4.048445141
516.4899042,711.3885713,-3.220553641,4.152313101
512.3375911,714.609125,-3.259485315,4.256181061
508.08141,717.8686103,-3.298416989,4.360049021
503.721361,721.1670273,-3.337348663,4.463916982
499.257444,724.5043759,-3.376280337,4.567784942
494.6896591,727.8806563,-3.415212011,4.671652902
